,ZIP CODE,vacant_storefronts,poverty_rate,unemployment_rate,median_household_income
90,10471,4,9.250712989369976,3.596178076438471,88722.0
91,10472,10,31.16020621926397,6.199696722267585,33498.0
92,10473,17,26.48370090352766,4.168732351863428,41508.0
93,10474,11,47.902283590015934,5.701803517419066,22965.0
94,10475,22,11.309120804719992,3.721936705436841,51951.0
95,11004,3,6.05782144624302,2.7022817537574952,95436.0
96,11005,3,13.473564525298464,0.0,55313.0
97,11040,1,3.1478629187524065,1.786753579327203,129344.0
98,11101,81,16.848089408572626,4.896887603683129,75581.0
99,11102,17,16.083488885117937,2.9922109971466027,71382.0
100,11103,36,11.514560401281871,4.219810901706961,76234.0
101,11104,13,10.137347281002954,3.49286700414174,67751.0
102,11105,23,9.327701513551563,2.4220481288429725,79883.0
103,11106,27,12.633821571238348,3.675231999019938,68530.0
104,11201,130,12.351476461839267,4.192255841821449,129248.0
105,11203,26,14.55258984490498,3.548090420639914,54457.0
106,11204,29,20.803518676557477,3.912889518413597,53093.0
107,11205,37,27.670268355327256,5.185909980430528,58872.0
108,11206,53,34.91865257325809,5.265708530841574,39753.0
109,11207,28,28.497380571834483,5.06562982572248,39382.0
110,11208,15,25.681265810227664,3.1664482306684145,42403.0
111,11209,60,10.967675001111589,3.2138442521631645,77917.0
112,11210,13,11.760769422310757,3.924113829256116,69385.0
113,11211,71,25.219949920593937,3.3670117770478702,81228.0
114,11212,25,34.4095866433284,8.299013897320624,26521.0
115,11213,26,22.685717745353276,5.170032476016275,44831.0
116,11214,33,16.29132152692362,3.344882729211088,56911.0
117,11215,47,7.089106631559258,2.709037880007873,132091.0
118,11216,34,16.977491961414792,4.071477497078851,67795.0
119,11217,69,13.257842684615945,3.9310916207182247,119375.0
120,11218,9,18.50940484631105,4.11461486250986,73470.0
121,11219,39,34.96036995579074,2.9932752431193435,40683.0
122,11220,71,27.25257375205468,3.666987487969201,50191.0
123,11221,31,21.34242771775216,4.926750807842228,56900.0
124,11222,53,10.176545795816216,2.7175064306249053,93488.0
125,11223,40,18.651101506027807,4.145401020751003,54023.0
126,11224,30,28.123259285666546,4.46355338007673,32549.0
127,11225,35,17.2462439162023,4.476617019060514,59820.0
128,11226,47,15.744286347696402,3.753996614632312,58257.0
129,11228,13,12.070177029263096,2.940771918241589,72902.0
130,11229,37,13.64031382015691,3.3493821455721675,64631.0
131,11230,27,19.920155952700576,3.0110587977663417,53070.0
132,11231,24,14.710008735473965,5.266591135372678,99643.0
133,11232,57,20.15359841446798,3.9437665290214814,61200.0
134,11233,17,27.144033964894493,3.168675471214258,44905.0
135,11234,33,7.514673750053554,3.48078027157296,85807.0
136,11235,48,17.116179908042433,3.057214233487692,54646.0
137,11236,19,12.532992081900344,3.2615033433820884,70793.0
138,11237,44,29.092143989132897,3.820635437269973,53303.0
139,11238,43,11.89042800417208,3.811716011319002,91846.0
140,11239,7,24.835009428032684,2.7390813253012047,29172.0
141,11354,83,19.840443981963237,2.250238694557764,40786.0
142,11355,39,21.759167246348007,1.812657932021676,42507.0
143,11356,17,9.897479709525845,1.9540976507524088,61859.0
144,11357,15,5.318250454277891,3.2583445408974203,85818.0
145,11358,35,9.26555220608386,2.613765182186235,68848.0
146,11360,14,7.156458267216756,2.35489424495819,83063.0
147,11361,15,8.070240986362787,2.203749404684591,87892.0
148,11362,17,6.034956579092008,2.44628937195006,93333.0
149,11363,3,6.962921030285877,2.303523035230352,101019.0
150,11364,13,7.391509042067075,2.81186265003845,82028.0
151,11365,13,12.235388992182076,5.576985765511246,67642.0
152,11366,11,11.536839145106862,4.689889549702634,84301.0
153,11367,14,14.53495607157968,3.4862328105023543,63546.0
154,11368,49,19.688255699160408,2.7817428952304555,54211.0
155,11369,9,15.199243461814389,3.4053156146179404,54184.0
156,11370,2,11.5606701366298,2.195506359271341,63706.0
157,11372,42,12.787859322306089,3.282818715665846,60659.0
158,11373,30,13.10397112684328,2.741854700964465,54584.0
159,11374,41,13.69332841872466,2.051987272825325,66795.0
160,11375,36,8.431410380088751,2.996279564177518,84713.0
161,11377,32,10.80562813106738,2.456988642752727,58948.0
162,11378,19,8.72033698751995,3.392827902407073,77710.0
163,11379,10,7.528628495339547,3.002741493307531,83883.0
164,11385,66,10.67952138786363,2.80466472303207,75340.0
165,11411,2,4.054707133191571,3.847894975101856,98207.0
166,11412,12,8.183532035792995,4.042505521236757,81608.0
167,11413,6,6.767409707230698,3.5301763611119314,93432.0
168,11414,14,9.680521423228978,2.626508042895442,75471.0
169,11415,13,10.127659574468083,2.30901342153807,70900.0
170,11416,10,14.111027756939237,4.631946739694981,73370.0
171,11417,5,13.36681166837257,4.079692636748921,76868.0
172,11418,13,15.034348432606008,2.95972669338414,68920.0
173,11419,12,11.51197045765736,5.020456449943313,75835.0
174,11420,8,10.75523587899302,4.426457569242444,79273.0
175,11421,15,10.369847337537436,4.028436018957346,73107.0
176,11422,2,6.370033494146207,3.944034372590063,88130.0
177,11423,6,9.19586793599352,5.900745610518721,71194.0
178,11426,6,7.682890999902066,2.706639155237286,98987.0
179,11427,1,8.541770885442721,3.0083144368858656,79385.0
180,11428,2,7.636711484296116,3.343601591580028,78368.0
181,11429,6,8.033088235294118,8.324300888792543,88300.0
182,11432,43,14.829054871480418,4.501656992893128,62148.0
183,11433,3,16.355140186915886,8.790189612530915,54253.0
184,11434,25,9.455199643380244,3.673565196979774,64087.0
185,11435,18,13.447999590883525,6.140716069941715,66137.0
186,11436,1,11.244621681183755,5.753478091275517,75222.0
187,11691,8,19.421218947973205,5.230663346895812,50267.0
188,11693,5,14.338292873923258,3.0125195618153366,60569.0
189,11694,5,11.193142404122488,3.060352196956745,84485.0
